tag,post_cnt,size,refresh_date
bayareaeats,447166,Medium,9/12/19
bayareafood,140990,Medium,9/12/19
bayareafoodie,259606,Medium,9/12/19
bayareafoodies,44544,Small,9/12/19
bestfoodsf,59963,Small,9/12/19
eastbayeats,58912,Small,9/12/19
eatersf,257208,Medium,9/12/19
foodofsf,10813,Small,9/12/19
foodsf,3922,Small,9/12/19
sanfranciscoeats,44367,Small,9/12/19
sfeats,546000,Large,9/12/19
sffood,137734,Medium,9/12/19
sffoodblogger,7183,Small,9/12/19
sffoodie,367818,Medium,9/12/19
sffoodieheaven,1343,Small,9/12/19
sffoodies,40768,Small,9/12/19
sfrestaurants,55009,Small,9/12/19
topsfrestaurants,54807,Small,9/12/19
yelpsf,32546,Small,9/12/19